,adtv_bn
TET,0.010278433333333333
VC6,0.010264434999999999
SBV,0.010215318
HD2,0.010114866666666666
CNT,0.010060131666666666
EIN,0.009958813333333332
DHP,0.009853666666666667
TTC,0.009850803333333333
SSC,0.009848541666666667
SMN,0.009841918333333335
PPS,0.009796894999999998
MAC,0.009726494999999998
SAC,0.00966931933333333
BQP,0.00966343
DAT,0.009538733333333334
ECO,0.00953699
VST,0.009495813333333334
MEC,0.009445991666666667
NST,0.009422339999999998
QBS,0.009220670000000002
FRC,0.009125
PPP,0.009120781666666668
PSL,0.009073476666666665
CCI,0.008939415000000001
MA1,0.008880851666666665
MNB,0.008819416116666668
HSP,0.00881126
VLW,0.008769215383333332
PSE,0.008755543333333332
PWA,0.008742793333333334
MBT,0.008668738333333334
BIO,0.0085324436
SDD,0.008508326666666668
CCA,0.008409870133333334
DID,0.008335039999999998
ADG,0.0083121525
VNH,0.008294558333333334
TV3,0.00817513185
L12,0.008116408333333333
KHW,0.00807874305
CCC,0.008018625
KIP,0.0079375
SB1,0.007910157666666667
HPW,0.007815926666666667
TST,0.007751333333333333
BGW,0.00762
PRC,0.007537408333333335
TMC,0.007446491666666667
MVB,0.007425293333333333
PRO,0.007420538333333333
SSG,0.007369086666666667
CDO,0.007345255
MIC,0.0072821633333333335
XMD,0.007257833333333332
PHN,0.007206018333333332
SJ1,0.007186948333333333
DS3,0.007180018333333335
APP,0.0071266533333333324
PEQ,0.007047511666666667
ISH,0.007029823833333333
TOT,0.0068349100000000005
VET,0.006788745
APC,0.006758694999999999
PCM,0.006743796666666666
SCJ,0.00668496
BAX,0.00667758
NAP,0.006660666666666667
VWS,0.006534229999999999
GGG,0.006493641666666667
LMH,0.006468756666666667
S74,0.006436938333333334
SCO,0.006317123333333334
NTW,0.00628850785
XMP,0.006208606666666667
TXM,0.006187793333333333
PTX,0.006169845
BHA,0.006142376666666666
TTL,0.006120163333333333
HU6,0.006091503333333333
SFN,0.006010275
HFB,0.006003242666666667
JOS,0.005994565
VSM,0.00595028
ITS,0.005932898333333334
NQN,0.005899863333333334
CDR,0.005890595
NBT,0.005880822933333333
WTC,0.005857808333333333
PVV,0.005838493333333333
NAV,0.0058268366666666665
TDF,0.00579474
VCA,0.005760066666666667
FTI,0.005754166666666667
PGT,0.005733423333333334
TNC,0.005674333333333333
BT1,0.005658925
UDL,0.00565178855
BLF,0.0056494833333333334
MTP,0.005648523333333334
CEN,0.005648281666666667
DNT,0.0056425
TNW,0.005604591666666666
QST,0.0055805333333333335
POB,0.0055389083333333335
TFC,0.00545642655
SFG,0.005399301666666666
PTP,0.0053901999999999995
ATA,0.005389383333333333
VUA,0.0053708033333333335
RCC,0.005359104999999999
HES,0.0052539733333333335
BRR,0.005188110449999999
EMS,0.005174370533333333
PEG,0.0051662516666666665
CPC,0.00509484
THP,0.005060378333333332
HAC,0.005001116666666667
PXT,0.004952348333333334
HRB,0.0049512324
DTL,0.0049482833333333335
C22,0.004946825916666666
FDC,0.00485825
PCG,0.004858131666666667
NTT,0.00481134
MAS,0.004768913333333333
KSD,0.004741843333333334
GMH,0.004691966666666666
PVE,0.004658548333333334
SRB,0.004543218333333333
CID,0.00448914
AME,0.004487228333333333
VNY,0.004452273333333334
BDW,0.004374156366666666
VFR,0.00431956
S55,0.004310673333333333
HAD,0.00430625375
BVG,0.0042703766666666665
ICC,0.004238666666666667
VNI,0.0042375983333333336
VBC,0.004233563333333333
BEL,0.0042313816666666665
HC1,0.004213333333333333
TSD,0.0041893216666666665
DHN,0.004185011000000001
BBS,0.004160011966666667
TIX,0.004147306666666666
CMV,0.004123616666666666
VIM,0.004068779166666666
BSH,0.003956556666666666
TUG,0.003941431833333333
THW,0.003933498333333334
SKH,0.003926388333333333
VTE,0.003919900516666667
HNB,0.003918313333333333
PSC,0.0038957083333333335
LAW,0.0038605
VC1,0.003858341666666667
DCF,0.0038554083333333334
PIS,0.0038486666666666665
GDW,0.003835144966666667
CGV,0.0038158516666666675
SGI,0.0037084873833333337
HPH,0.0036541583333333334
TCR,0.0036121373333333332
SCD,0.0035485150000000003
BVL,0.003519395
TSJ,0.0035076302833333332
DC2,0.003491415
BCP,0.0034830699999999996
HPO,0.0034685
VSN,0.0034418855166666673
XDH,0.00342954
BLT,0.003398075
TPS,0.0033941500000000003
AIC,0.0033918799999999995
HMD,0.0033869466666666664
HPI,0.003384741666666667
SZG,0.0032992016666666666
PTT,0.0032849349999999997
TBD,0.003271983333333333
BHP,0.003230958333333333
SD6,0.0032039016666666666
VLA,0.003193888333333334
VDN,0.003114096533333334
DPC,0.003083883333333333
PXM,0.003044475
PNT,0.0030360783333333334
DSP,0.0030297866666666668
XLV,0.003010554366666666
RIC,0.002998265
CX8,0.002996625
KHX,0.0029891666666666664
NVT,0.0029669356666666667
CCM,0.0029598333333333334
DTH,0.0029493
SJM,0.002936733333333333
SHC,0.0028192317833333337
ADC,0.002818525
KST,0.0027943971999999997
AMC,0.0027458335
DWS,0.002695813333333333
VTH,0.0026750066666666665
QNC,0.002670821666666666
CMC,0.002662038333333333
G20,0.0026220933333333334
XHC,0.002600543466666667
CMW,0.0025866666666666664
THU,0.0025623333333333336
NDC,0.0025142600000000004
NBW,0.0025119218666666667
TRT,0.0025
VQC,0.0024649166666666665
SSH,0.0024398035
CHS,0.002426366666666667
TOW,0.0023977716666666667
HPB,0.002380508333333333
DXV,0.0023733093333333333
USC,0.0023631666666666666
PVH,0.002338805
SDN,0.0023338081166666665
GND,0.0023242149999999997
GTA,0.002316105
PVY,0.0023116166666666666
CTW,0.0023014583333333333
VBT,0.0022547316666666666
